objected,title,creator,subject,date,format,filename,youtubeid
man_151,Remembranza,"Elizabeth Arlette Salt Pardillo, Hugo Navarro Ramírez",Ficción,2016,video/mp4,https://www.youtube.com/watch?v=ly9GW7Sp980,ly9GW7Sp980
man_152,Remembranza,,Ficha Técnica,,application/pdf,ft_remembranza.pdf,
man_153,Trencitos,Javier Sánchez Recio,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=-Sy8XTDNWmg,Sy8XTDNWmg
man_154,Trencitos,,Ficha Técnica,,application/pdf,ft_trencitos.pdf,
man_155,Páginas Blancas,Hugo Navarro Ramírez,Ficción,2016,video/mp4,https://www.youtube.com/watch?v=Nzs0rBzF3CM,Nzs0rBzF3CM
man_156,Páginas Blancas,,Ficha Técnica,,application/pdf,ft_páginasblancas.pdf,
man_157,Páginas Blancas,,Poster,,image/jpeg,p_páginasblancas.jpg,
man_158,Páginas Blancas,,Poster,,image/jpeg,p_páginasblancas (2).JPG,
man_159,La pólvora del oledor o donde un hombre intenta abordar varios temas y fracasa,Dayron Porrua,Entrevista,2016,video/mp4,https://www.youtube.com/watch?v=fCVTE4giG-w,fCVTE4giG-w
man_160,Spot Promocional de Hieroscopia VI (2016) Festival del Movimiento Audiovisual en Nuevitas,,Spot Publicitario,2016,video/mp4,https://www.youtube.com/watch?v=9BtmkEUwrko,9BtmkEUwrko
man_161,Yutubers,Javier Sánchez Recio,Ficción,2017,video/mp4,https://www.youtube.com/watch?v=YYD0tM3mCCc,YYD0tM3mCCc
man_162,Yutubers,,Ficha Técnica,,application/pdf,ft_yutubers.pdf,
man_163,Encima,Geordanys Santana Avilés,Ficción,2017,video/mp4,https://www.youtube.com/watch?v=WVC3Yk54ZEk,WVC3Yk54ZEk
man_164,Encima,,Ficha Técnica,,application/pdf,p_encima.JPG,
man_165,Encima,,Poster,,image/jpeg,ft_encima.pdf,
man_166,Antipoda,Hugo Navarro Ramírez,Ficción,2017,video/mp4,https://www.youtube.com/watch?v=b4Vo0v2-GLw,b4Vo0v2-GLw
man_167,Antipoda,,Ficha Técnica,,application/pdf,ft_antipoda.pdf,
man_168,Antipoda,,Poster,,image/jpeg,p_antipoda.jpg,
man_169,Cómplices,Hugo Navarro Ramírez,Ficción,2019,video/mp4,https://www.youtube.com/watch?v=W8y-DXMaDmk,W8y-DXMaDmk
man_170,Cómplices,,Ficha Técnica,,application/pdf,ft_cómplices.pdf,
man_171,El rikimbili,Hugo Navarro Ramírez,Ficción,2019,video/mp4,https://www.youtube.com/watch?v=G2UieuL1-IU,G2UieuL1-IU
man_172,El rikimbili,,Ficha Técnica,,application/pdf,ft_rikimbili.pdf,
man_173,El rikimbili,,Poster,,image/jpeg,p_rikimbili.JPG,
man_174,Corín,Elizabeth Arlette Salt Pardillo,Ficción,2019,video/mp4,https://www.youtube.com/watch?v=dBOQTuVML7Y,dBOQTuVML7Y
man_175,Corín,,Ficha Técnica,,application/pdf,ft_corin.pdf,
man_176,Corín,,Poster,,image/jpeg,,
man_177,Plan B,Esther Loannis Tellez Parrado,Ficción,2019,video/mp4,https://www.youtube.com/watch?v=N1YXlHxTpkg,N1YXlHxTpkg
man_178,Plan B,,Ficha Técnica,,application/pdf,ft_planb.pdf,
man_179,Ana,Ariadna Matos Álvarez,Ficción,2019,video/mp4,https://www.youtube.com/watch?v=J_8-301ahbY,J_8-301ahbY
man_180,Ana,,Ficha Técnica,,application/pdf,ft_ana.pdf,
man_181,Spot Promocional de Hieroscopia 9.1 (2020) Festival del Movimiento Audiovisual en Nuevitas,,Spot Publicitario,2020,video/mp4,https://www.youtube.com/watch?v=usnT8h_DRYw,usnT8h_DRYw
man_182,La mala costumbre,Hugo Navarro Ramírez,Video musical,2020,video/mp4,https://www.youtube.com/watch?v=jfDpxXbC4PU,jfDpxXbC4PU
man_183,La mala costumbre,,Ficha Técnica,,application/pdf,ft_lamalacostumbre.pdf,
